"last_name, first_name","player_id","year","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","exit_velocity_avg","launch_angle_avg","barrel_batted_rate","z_swing_percent","oz_swing_percent","oz_contact_percent","iz_contact_percent","whiff_percent",""
"Joyce, Matt","459964","2017",".254",".480",".343",".356",".349",".226",".384",".404",".314",".335","88.2","15.1",8.8,66.7,19,60.9,79.3,24.9,
"Gordon, Alex","460086","2017",".225",".358",".269",".296",".312",".133",".297",".338",".280",".308","86.3","13.8",4.5,69.6,25.3,60,82.8,23,
"Andrus, Elvis","462101","2017",".264",".406",".344",".309",".308",".141",".381",".338",".350",".313","86.5","7.6",4.2,63.2,31.8,66.9,86.9,19.5,
"Cabrera, Melky","466320","2017",".297",".426",".319",".331",".337",".130",".337",".351",".321",".337","88.3","8.9",3.8,63.7,30.9,74.3,93,13.4,
"Santana, Carlos","467793","2017",".266",".463",".350",".359",".371",".197",".356",".368",".309",".320","88.6","13",7.5,61,19.7,68.6,84.7,19.4,
"Gonzalez, Carlos","471865","2017",".235",".367",".327",".303",".318",".132",".379",".343",".345",".314","87.5","6.2",5.9,71.5,32,48.8,77.6,31.9,
"Mercer, Jordy","474568","2017",".254",".374",".308",".299",".326",".121",".336",".323",".308",".307","85.8","9.1",3.1,61.3,23.8,67.9,91.1,15.6,
"Alonso, Yonder","475174","2017",".260",".497",".366",".362",".359",".237",".432",".427",".360",".352","89.2","19.4",9.9,72.5,26,58.3,80.1,26.1,
"Smoak, Justin","475253","2017",".278",".567",".371",".390",".363",".289",".427",".454",".348",".360","89.6","17.1",13.6,65.7,24,60.2,83.6,23.5,
"Zimmerman, Ryan","475582","2017",".290",".555",".387",".378",".347",".265",".474",".462",".395",".379","91.4","8.3",12.2,61.8,29.2,61.3,83.4,24.4,
"Lowrie, Jed","476704","2017",".289",".481",".347",".365",".371",".191",".367",".392",".334",".349","89.1","18.7",6,74.6,22.1,65,85.9,18.7,
"Morrison, Logan","489149","2017",".253",".511",".363",".368",".361",".258",".440",".448",".344",".357","88.6","17.6",12.8,69.5,25.1,52.6,78.9,28.8,
"Gurriel, Yuli","493329","2017",".287",".435",".344",".326",".323",".148",".369",".347",".334",".324","89.9","10.4",3.4,69.1,30.5,68.4,89.3,17.6,
"Solarte, Yangervis","500208","2017",".242",".376",".311",".295",".305",".134",".322",".302",".291",".278","85.4","14.7",3.9,71.9,33.5,71.7,91,15.9,
"Freese, David","501896","2017",".258",".395",".326",".341",".368",".137",".366",".389",".357",".357","88.9","3.1",6.4,61.7,24.1,64.3,82,23.2,
"Davis, Khris","501981","2017",".259",".575",".361",".387",".349",".316",".478",".522",".370",".393","92.2","14.2",17.7,75.1,21.8,42.4,74,33.7,
"Pham, Tommy","502054","2017",".278",".481",".398",".377",".388",".203",".466",".432",".412",".375","89.6","6.9",9.3,59.6,16.2,55.9,85.3,20.9,
"Reddick, Josh","502210","2017",".291",".440",".357",".340",".347",".149",".385",".363",".360",".340","87.7","17.8",3.8,64.5,27.6,71.1,90.9,15.6,
"Murphy, Daniel","502517","2017",".301",".492",".385",".359",".366",".191",".421",".389",".374",".350","89.6","17.3",4.8,66.5,30.6,77.5,91,13.7,
"Goldschmidt, Paul","502671","2017",".284",".560",".400",".397",".393",".276",".480",".475",".400",".383","91.5","11.6",13.3,62.1,23,61.7,78.6,26.5,
