"last_name, first_name","player_id","year","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","exit_velocity_avg","launch_angle_avg","barrel_batted_rate","z_swing_percent","oz_swing_percent","oz_contact_percent","iz_contact_percent","whiff_percent",""
"Kemp, Matt","461314","2018",".273",".522",".348",".359",".326",".248",".427",".446",".379",".363","89.6","15.8",11,72.9,31.4,56.3,77,29.4,
"Santana, Carlos","467793","2018",".245",".418",".333",".347",".368",".174",".320",".339",".269",".291","88.9","15.4",6.9,64,21,69.1,84.5,19.3,
"Gonzalez, Carlos","471865","2018",".245",".386",".338",".300",".301",".141",".412",".358",".363",".323","89.7","9",6.2,72.8,32.2,54.2,79.4,29.4,
"Alonso, Yonder","475174","2018",".254",".441",".319",".331",".322",".188",".369",".388",".324",".331","87.8","15.7",9.8,73.1,30.4,58.1,82.2,25.4,
"Smoak, Justin","475253","2018",".224",".434",".349",".337",".336",".211",".422",".402",".347",".322","89.5","15",10.8,61.5,22.6,55.1,82.9,25.3,
"Lowrie, Jed","476704","2018",".246",".408",".347",".327",".335",".162",".384",".354",".338",".312","89.2","17.4",5.3,70.5,21.4,63.6,84.5,20.3,
"Brantley Jr., Michael","488726","2018",".306",".452",".359",".357",".365",".147",".366",".364",".341",".341","90.2","9.5",3.5,65.2,23.7,71.1,95.2,11,
"Gurriel, Yuli","493329","2018",".258",".360",".323",".290",".296",".102",".343",".304",".324",".292","89.3","11.5",1.9,68.7,34.5,73.2,90.7,15.6,
"Solarte, Yangervis","500208","2018",".251",".387",".284",".301",".300",".137",".301",".323",".266",".295","87.1","14.1",4.5,76.3,37.6,71.1,90,17.5,
"Rojas, Miguel","500743","2018",".264",".351",".281",".293",".309",".087",".296",".311",".290",".306","84.7","9.3",0.9,65.5,32.2,66.3,92.3,15.4,
"Escobar, Eduardo","500871","2018",".247",".430",".346",".323",".316",".183",".406",".374",".344",".317","86.5","18.9",8.3,72.4,35.3,60.4,84.1,23.9,
"Martinez, Jose","500874","2018",".301",".512",".356",".378",".362",".211",".402",".432",".376",".374","91","8.1",9.4,63.6,26.1,63.8,85.6,21.4,
"Davis, Khris","501981","2018",".247",".566",".365",".376",".329",".318",".469",".486",".348",".353","92.5","18.1",17.2,76,23.2,39.1,74.7,33.7,
"Pham, Tommy","502054","2018",".283",".498",".359",".376",".373",".215",".433",".461",".381",".391","93","6.6",10.1,59.8,19.1,41.6,84.3,25.4,
"Martinez, J.D.","502110","2018",".307",".619",".427",".418",".383",".312",".535",".520",".437",".409","93","10.8",16,74.7,29.3,55.4,79.2,28.2,
"Goldschmidt, Paul","502671","2018",".271",".533",".390",".384",".373",".262",".490",".480",".410",".383","90.8","15.7",13.6,61.9,26,61.7,79.3,26.4,
"Gonzalez, Marwin","503556","2018",".243",".413",".318",".321",".322",".170",".373",".379",".332",".329","89.1","11.3",6.8,61.4,29.8,58.7,82.6,24.3,
"Altuve, Jose","514888","2018",".288",".449",".363",".352",".360",".162",".385",".370",".371",".337","87.2","10.1",5.9,68,30.2,70,88.2,17.9,
"Hernandez, Cesar","514917","2018",".242",".352",".320",".316",".350",".110",".352",".346",".338",".327","85.8","11.5",4.2,58.6,18,56.9,85,20.1,
"Segura, Jean","516416","2018",".273",".393",".327",".310",".313",".120",".346",".326",".340",".307","87.7","7.8",3.6,66.4,32,73.3,92,12.6,
"Castro, Starlin","516770","2018",".257",".402",".315",".311",".311",".145",".362",".357",".347",".322","88.5","8.4",6.9,65,27.4,57.2,85.8,22.8,
"Marte, Starling","516782","2018",".266",".456",".337",".335",".319",".190",".385",".384",".342",".331","88.4","8.9",7.5,75.8,34.2,55.7,83.4,23.9,
"Dietrich, Derek","518618","2018",".237",".382",".326",".303",".306",".145",".403",".367",".366",".329","87.4","15.8",6.1,70.6,31.8,58,82.4,25.4,
"Freeman, Freddie","518692","2018",".298",".533",".378",".388",".381",".235",".434",".448",".388",".378","89.1","14.5",9.3,82.7,31.1,62.7,81.1,24.3,
"Grandal, Yasmani","518735","2018",".222",".438",".352",".337",".335",".216",".410",".387",".332",".308","88.9","14.1",11.6,57.6,19.8,53,79.6,28,
"LeMahieu, DJ","518934","2018",".276",".419",".322",".326",".324",".143",".349",".353",".321",".324","91.3","5.9",5.2,59.6,23.2,66.4,92.6,14,
"Moustakas, Mike","519058","2018",".257",".461",".329",".336",".321",".204",".361",".370",".303",".310","89.5","19.9",8.8,72.5,34.2,61.9,86.4,21.9,
"Rizzo, Anthony","519203","2018",".291",".470",".359",".367",".386",".179",".365",".377",".323",".336","90.1","14.7",6.5,68,29.7,68.7,89.3,17,
"Stanton, Giancarlo","519317","2018",".241",".477",".360",".345",".325",".236",".484",".460",".394",".363","93.7","11.7",15.1,66.4,28.7,46.5,76.6,34.4,
"Galvis, Freddy","520471","2018",".218",".341",".294",".273",".276",".123",".349",".321",".323",".290","88.6","13.7",3.9,67.9,35,62,79.4,26.3,
"Perez, Salvador","521692","2018",".256",".477",".304",".334",".296",".221",".356",".396",".295",".325","91.3","18",10.8,73,44.2,61.7,87.7,23.8,
"Inciarte, Ender","542255","2018",".254",".341",".308",".296",".318",".087",".320",".303",".307",".298","84.9","10.9",1.5,70,31,72,88.5,14.4,
"Ozuna, Marcell","542303","2018",".285",".498",".327",".358",".332",".213",".372",".413",".342",".351","91.5","10.8",9.7,72.3,27.8,56.7,83.9,24.3,
"Villar, Jonathan","542340","2018",".223",".351",".312",".288",".293",".128",".389",".352",".367",".317","88.5","3.2",5.1,72.2,27.8,55.7,75.1,29.3,
"Aguilar, Jesus","542583","2018",".253",".489",".374",".356",".338",".235",".469",".440",".376",".355","89.8","16.2",11.4,59.7,33.8,58,80.6,28.7,
"Crawford, Brandon","543063","2018",".251",".376",".306",".305",".326",".125",".354",".353",".326",".327","87.5","11.3",3.6,75.7,29.8,54.3,77.5,29.2,
"Cron, C.J.","543068","2018",".247",".483",".347",".345",".319",".236",".436",".433",".352",".345","88","15.2",12.2,69.6,34.9,57.5,78.8,29.1,
"Hicks, Aaron","543305","2018",".262",".465",".360",".372",".382",".204",".385",".404",".317",".341","89.7","13.2",8.8,65.1,18.2,65,79.5,23.1,
"Hosmer, Eric","543333","2018",".239",".374",".309",".302",".312",".135",".360",".350",".328",".314","88.7","-1.5",5.9,70.7,29.3,52,81.9,27.6,
"Kipnis, Jason","543401","2018",".237",".394",".308",".318",".324",".157",".330",".345",".290",".302","86.9","17.8",6.6,61.3,25.9,62.6,85.8,20.8,
"Rendon, Anthony","543685","2018",".302",".538",".383",".384",".369",".237",".414",".417",".358",".352","90.7","17.9",10.3,69.5,23.8,72.9,90.2,13.9,
"Semien, Marcus","543760","2018",".245",".380",".307",".305",".311",".135",".341",".337",".317",".307","86.8","15.5",4.5,64.4,23.6,61.2,86.3,20.3,
"Shaw, Travis","543768","2018",".242",".460",".351",".350",".348",".218",".381",".379",".303",".308","88.9","16.9",10.3,67.1,25.2,64.8,84.9,20.3,
"Springer III, George","543807","2018",".253",".459",".340",".346",".336",".206",".380",".389",".339",".325","88.6","9.5",8.9,67.1,21.8,58.6,80.8,24.6,
"Strange-Gordon, Dee","543829","2018",".265",".325",".277",".272",".287",".060",".307",".302",".310",".309","83.2","5.8",0.2,69.1,39.5,68.3,89.3,15.2,
"Gregorius, Didi","544369","2018",".257",".398",".350",".318",".327",".140",".364",".323",".304",".294","87","16",4.7,74.7,33.1,66.9,87.2,19.5,
"Trout, Mike","545361","2018",".294",".602",".447",".434",".446",".308",".529",".509",".419",".396","91.2","18.6",16.5,57.7,18.1,56.6,89.3,18.6,
"Herrera, Odubel","546318","2018",".231",".357",".315",".286",".289",".127",".367",".328",".326",".297","86.7","13.2",4.9,69.1,38.3,55.7,81.2,27.3,
"Harper, Bryce","547180","2018",".263",".519",".376",".391",".406",".256",".441",".469",".351",".374","91","14.4",11.5,74.6,25.3,52.9,75,31.3,
"Abreu, Jose","547989","2018",".277",".493",".337",".356",".341",".216",".392",".419",".333",".354","91.3","12.2",9.1,65,34.8,60.9,84.2,24.6,
"Suarez, Eugenio","553993","2018",".275",".515",".376",".373",".362",".240",".460",".455",".381",".374","91.2","14.8",9.7,68.3,21.8,43.8,84.2,25.7,
"Polanco, Gregory","570256","2018",".244",".445",".353",".339",".335",".201",".414",".392",".333",".326","88.9","20.1",9.4,69.9,24.5,58.4,82.6,23.9,
"Sanchez, Yolmer","570560","2018",".235",".344",".297",".289",".301",".109",".336",".326",".312",".305","86.7","9.3",3,64.7,31.4,64.6,84,21.5,
"Arenado, Nolan","571448","2018",".267",".477",".391",".353",".350",".210",".449",".397",".369",".336","89.8","15.3",7.2,72.5,30.2,63.3,81.2,24.6,
"Barnhart, Tucker","571466","2018",".239",".351",".307",".301",".321",".112",".331",".322",".311",".301","87.1","12.4",3.5,69.3,24.6,61.8,86.1,20.2,
"Gennett, Scooter","571697","2018",".257",".403",".362",".311",".311",".146",".428",".360",".390",".326","87.3","14",5.8,73.9,36.3,67.9,84.8,20.1,
"Hamilton, Billy","571740","2018",".222",".266",".277",".256",".290",".044",".323",".293",".316",".304","80.5","15.3",0.5,68.4,26.8,62,78.9,23.3,
"Haniger, Mitch","571745","2018",".277",".498",".367",".370",".362",".221",".431",".436",".374",".367","90.2","12.7",10.3,61.3,22.5,59.3,82.9,23.3,
"Piscotty, Stephen","572039","2018",".268",".492",".351",".356",".332",".224",".399",".407",".334",".337","88.5","13.2",9.6,72.6,34.3,54.2,84.3,25.5,
"Seager, Kyle","572122","2018",".246",".411",".288",".305",".297",".164",".340",".365",".287",".321","89.8","18.5",5.6,68.2,27.4,58.9,85.3,22.3,
"Carpenter, Matt","572761","2018",".265",".540",".375",".389",".383",".275",".450",".473",".354",".368","90.7","21.6",13.7,57.9,18.6,48.2,83.9,24.1,
"Dickerson, Corey","572816","2018",".283",".450",".341",".330",".317",".167",".387",".374",".353",".336","87.9","15.1",6.1,79,41.8,71.2,81.9,22,
"Dozier, Brian","572821","2018",".204",".343",".304",".288",".299",".138",".329",".306",".277",".267","86.8","17.5",6.3,57.4,23.5,64.3,82.7,22.6,
"Contreras, Willson","575929","2018",".218",".361",".321",".303",".314",".144",".363",".336",".332",".293","88.2","8",7.3,69.2,31.3,57.4,78.3,28,
"Castellanos, Nick","592206","2018",".296",".525",".363",".374",".353",".229",".444",".460",".392",".390","89.6","15.2",11.2,77.1,35.5,47.7,81.3,30.2,
"Healy, Ryon","592387","2018",".258",".442",".296",".322",".300",".184",".354",".389",".304",".335","89.6","12.3",7.1,62.8,33.7,52.1,88.1,25.4,
"Machado, Manny","592518","2018",".284",".512",".377",".369",".357",".229",".418",".408",".353",".340","91.6","14.4",11.3,72.7,28.5,60.2,85.6,22.2,
"Realmuto, J.T.","592663","2018",".271",".472",".353",".351",".337",".201",".407",".404",".350",".346","88.9","14.5",9,66.8,25.9,57,85.1,22.5,
"Rosario, Eddie","592696","2018",".242",".424",".340",".302",".281",".183",".398",".350",".352",".298","87.7","17.8",8.3,77.8,41.9,69.2,80.8,23.3,
"Simmons, Andrelton","592743","2018",".275",".388",".326",".316",".325",".113",".327",".315",".315",".300","88.2","7.8",4.1,67.1,23.7,75.6,89.1,13.6,
"Yelich, Christian","592885","2018",".312",".564",".422",".412",".393",".252",".506",".491",".424",".409","92.6","5",12.9,65.2,25,55.5,85.4,22.8,
"Merrifield, Whit","593160","2018",".281",".428",".349",".343",".350",".147",".383",".375",".366",".343","87","16.9",4.6,67.7,29,68.9,85.8,18.9,
"Bogaerts, Xander","593428","2018",".277",".493",".373",".363",".352",".215",".420",".406",".355",".344","90.6","12.6",9.8,60.6,26.7,59.3,87.9,21.1,
"Calhoun, Kole","594777","2018",".248",".447",".283",".332",".320",".199",".329",".402",".280",".337","90.4","12.1",9.3,73.4,27.1,51.3,79.6,28.5,
"Profar, Jurickson","595777","2018",".251",".394",".341",".323",".333",".143",".357",".333",".302",".300","87.3","12.4",5,68.3,30.2,71.5,85.6,18.6,
"Baez, Javier","595879","2018",".267",".504",".366",".344",".306",".237",".485",".455",".397",".370","90.6","9.6",12.6,77.3,43.5,49.7,78.1,33.8,
"Lindor, Francisco","596019","2018",".289",".512",".368",".375",".364",".223",".398",".407",".329",".344","90.6","14.7",9.3,67.8,29.8,72,87.7,17.5,
"Odor, Rougned","596059","2018",".241",".411",".325",".318",".318",".171",".387",".380",".341",".328","90.7","13.9",7.1,65.4,33,61,83.2,22.8,
"Story, Trevor","596115","2018",".266",".513",".384",".358",".326",".247",".496",".458",".401",".369","91","15.9",12.7,73.1,28.5,52.8,84.1,24.9,
"Kepler, Max","596146","2018",".233",".404",".316",".324",".330",".171",".322",".333",".271",".285","89.5","16.3",6.6,65,21,57.3,90.1,17.8,
"Bradley Jr., Jackie","598265","2018",".257",".459",".310",".343",".335",".202",".374",".426",".326",".358","92.2","12.3",10.3,70.1,23.3,53.5,73.5,30.6,
"Candelario, Jeimer","600869","2018",".206",".350",".311",".292",".302",".144",".366",".337",".315",".291","87.1","15.3",6,61.3,25.6,58.4,81.7,25.6,
"Ahmed, Nick","605113","2018",".240",".373",".300",".292",".295",".133",".341",".331",".294",".302","86.9","11.9",5.1,71.5,30,53.4,83.4,25.2,
"Anderson, Brian","605119","2018",".261",".407",".333",".334",".347",".147",".366",".367",".348",".333","90.2","8.7",5.8,68.2,23.4,56.8,81.6,24.3,
"Bell, Josh","605137","2018",".257",".417",".336",".340",".354",".160",".356",".363",".326",".321","90.2","9.4",7,68.5,23.1,61.4,81.6,24.4,
"Betts, Mookie","605141","2018",".309",".606",".449",".431",".410",".297",".498",".472",".415",".375","92.2","18.5",14.1,56.6,16.2,66.8,89.8,15.5,
"Smith, Mallex","605480","2018",".255",".339",".339",".302",".331",".084",".375",".323",".370",".320","85.8","3.7",1.5,72.8,26,57.1,79.1,25.1,
"Hernandez, Teoscar","606192","2018",".235",".500",".328",".342",".300",".265",".447",".470",".361",".358","91.9","16.9",15.5,72.1,28.3,40.2,70.4,38.5,
"Peraza, Jose","606299","2018",".273",".383",".319",".304",".314",".110",".339",".322",".324",".309","85.8","15",2.5,67.1,33.2,70,91.9,13.8,
"Marte, Ketel","606466","2018",".257",".394",".330",".320",".330",".137",".345",".332",".305",".303","88.8","5.8",5,69.1,24,70,87.9,16,
"Nimmo, Brandon","607043","2018",".241",".398",".385",".353",".386",".156",".463",".405",".389",".357","89.9","10.7",6.5,62.3,16.2,48.1,79.5,26.5,
"Turner, Trea","607208","2018",".273",".415",".331",".335",".347",".142",".365",".371",".338",".342","89.1","9.3",5.8,64.8,23.2,60.9,84.9,20.2,
"Pillar, Kevin","607680","2018",".280",".432",".302",".321",".310",".152",".350",".375",".307",".343","87.3","16.8",5.7,67,41.8,63.2,86.9,22.3,
"Ramirez, Jose","608070","2018",".261",".471",".391",".365",".382",".210",".395",".359",".310",".301","89","19",8.3,60.7,19.9,75.9,89.8,13.6,
"Bregman, Alex","608324","2018",".267",".464",".396",".369",".380",".196",".400",".363",".332",".312","89.4","16.8",7.6,57.8,18.2,73.4,91.7,12.9,
"Gallo, Joey","608336","2018",".231",".543",".343",".371",".334",".312",".499",".553",".352",".394","94.3","21.9",22.5,72.9,29.5,40.6,68,40.7,
"Mazara, Nomar","608577","2018",".258",".442",".324",".332",".320",".184",".382",".395",".335",".339","90.5","5.3",8.5,62.8,32.2,61.1,82.9,25.4,
"Andujar, Miguel","609280","2018",".275",".434",".361",".322",".309",".159",".415",".366",".354",".329","89.2","12.3",6.3,72.2,36,64.9,88.9,19.7,
"Swanson, Dansby","621020","2018",".231",".363",".293",".281",".298",".132",".358",".341",".318",".309","88","14.1",4.1,69.9,31.1,56.2,82.7,25.4,
"Taylor, Chris","621035","2018",".239",".406",".335",".321",".321",".167",".435",".416",".376",".361","88.9","16.4",8.3,69.8,23.7,47.8,74.5,31.4,
"Wendle, Joey","621563","2018",".260",".367",".338",".304",".323",".107",".381",".335",".364",".322","88.8","10.7",2.7,61.2,34.1,64.4,88.3,20.5,
"Olson, Matt","621566","2018",".250",".494",".340",".357",".338",".244",".409",".436",".341",".347","93.3","18.1",12.2,69.1,21,60,75.7,27.5,
"Duffy, Matt","622110","2018",".269",".351",".323",".310",".339",".082",".348",".330",".359",".329","86.8","4.8",1.2,67.8,25,60.8,89.9,17.3,
"Margot, Manuel","622534","2018",".251",".367",".288",".293",".301",".116",".321",".328",".295",".307","89.4","11.5",3.3,65.5,24.9,60,83.9,21,
"Camargo, Johan","622666","2018",".237",".373",".346",".307",".321",".136",".399",".343",".351",".310","88","12.6",5,70,32.3,62.4,79.3,26.6,
"Conforto, Michael","624424","2018",".241",".426",".342",".339",".350",".185",".408",".403",".340",".341","88","12.5",9.5,64.4,24.2,54,79.8,27.7,
"Anderson, Tim","641313","2018",".221",".357",".294",".272",".264",".135",".368",".336",".323",".299","85.8","10.8",4.7,73,36.2,53.1,82.1,27.7,
"Bellinger, Cody","641355","2018",".237",".432",".345",".327",".326",".194",".419",".392",".355",".327","89.8","16.2",8.6,66.1,24.4,62.1,73.9,29.7,
"Mancini III, Trey","641820","2018",".251",".434",".308",".328",".311",".184",".374",".403",".325",".342","89.9","5.4",11.8,68.1,31.5,58.3,78.9,27.7,
"Rosario, Amed","642708","2018",".255",".367",".290",".290",".295",".112",".343",".344",".324",".325","87.8","7.9",3.9,69.8,37.9,58.7,80.7,25.8,
"Benintendi, Andrew","643217","2018",".282",".449",".357",".353",".360",".167",".386",".381",".350",".342","88.6","12.8",6.4,70,24.3,71.3,83.9,19.2,
"Albies, Ozzie","645277","2018",".246",".398",".324",".301",".291",".152",".366",".337",".317",".300","86.8","16.1",4.7,82.9,32.6,62.7,82.8,22,
"Chapman, Matt","656305","2018",".257",".432",".369",".338",".338",".175",".449",".402",".377",".350","93.1","14.9",8.9,61.8,21.1,59.6,82.2,23.6,
"Hoskins, Rhys","656555","2018",".231",".454",".363",".349",".344",".223",".420",".398",".332",".317","89","22.6",11.4,60,19.7,60.2,84.1,21.9,
"Schwarber, Kyle","656941","2018",".245",".472",".343",".350",".362",".227",".438",".450",".352",".363","90.9","12.3",12.7,64.8,21.9,50.8,76.7,30,
"Moncada, Yoan","660162","2018",".211",".382",".311",".298",".294",".170",".427",".404",".375",".338","91","15.4",9.6,62.7,20.4,43.8,76.7,31,
"Pujols, Albert","405395","2019",".251",".428",".308",".319",".314",".178",".317",".331",".278",".290","88.3","12.5",5.8,59.6,30.8,69.9,88.9,18.2,
"Cabrera, Miguel","408234","2019",".270",".436",".318",".331",".337",".166",".362",".379",".356",".344","90.3","12.3",6.4,67.9,33.9,59.1,85.3,24.4,
"Choo, Shin-Soo","425783","2019",".263",".474",".353",".362",".370",".211",".419",".434",".373",".372","91.9","9.2",8.8,64.8,20.4,43.6,78.2,29.2,
"Jones, Adam","430945","2019",".257",".432",".308",".319",".312",".175",".351",".366",".326",".325","86.2","13.5",6.7,72.3,39.3,54.2,84.1,26.7,
"Cruz Jr., Nelson","443558","2019",".290",".637",".417",".415",".377",".347",".538",".535",".433",".409","93.7","13.1",19.9,69.9,27.3,45.6,78,32.6,
"Longoria, Evan","446334","2019",".269",".491",".322",".351",".340",".222",".374",".416",".332",".354","89.7","14",7.5,64.6,30.1,65,78.8,25.7,
"Fowler, Dexter","451594","2019",".250",".421",".326",".340",".357",".172",".373",".397",".332",".351","85.5","12.9",7.4,66.8,23.4,56.9,78.5,27,
"Cabrera, Asdrubal","452678","2019",".238",".408",".331",".317",".326",".170",".369",".349",".330",".307","89.1","14.4",5.7,66.4,25.1,68,83.2,20.6,
"Blackmon, Charlie","453568","2019",".295",".525",".387",".367",".348",".230",".440",".413",".378",".357","88.7","14.6",8.3,70.4,30.5,66.9,86,19.5,
"Cain, Lorenzo","456715","2019",".287",".414",".302",".335",".352",".127",".324",".370",".317",".354","89.5","6.9",4.1,65.3,25.2,58.3,90.1,19.2,
"Turner, Justin","457759","2019",".286",".516",".370",".377",".372",".230",".399",".410",".351",".351","90.3","17.8",7.8,66.6,24.5,72.2,86.8,17.1,
"Votto, Joey","458015","2019",".259",".446",".332",".347",".359",".186",".363",".387",".338",".341","88.9","15.2",6.9,65.5,18.5,63,86.2,19.6,
"Gardner, Brett","458731","2019",".232",".361",".344",".296",".311",".129",".390",".322",".319",".298","87.7","13.9",3.9,55.5,22.5,59.1,88.3,19.5,
"Braun, Ryan","460075","2019",".266",".470",".354",".339",".328",".204",".419",".399",".367",".345","91.5","7.3",9.5,72,34.7,56.1,86.8,24.8,
"Gordon, Alex","460086","2019",".255",".422",".319",".330",".338",".167",".333",".348",".320",".311","88.7","9.3",5.4,71,26.8,58.8,85.2,21.8,
"Andrus, Elvis","462101","2019",".271",".401",".300",".311",".315",".129",".327",".342",".321",".324","88.4","7.2",3.5,61.2,32.6,62.9,90.2,19.6,
"Ramos, Wilson","467092","2019",".262",".398",".327",".314",".328",".136",".344",".328",".334",".305","90","-0.1",4.7,74.9,34.1,65.6,86.2,20.5,
"Santana, Carlos","467793","2019",".266",".480",".380",".367",".384",".214",".401",".383",".345",".327","91.8","11.7",9.6,63.7,17.9,64,84.5,20.3,
"Belt, Brandon","474832","2019",".242",".457",".319",".346",".349",".214",".343",".385",".305",".320","87.3","22.4",8.7,75.3,22.7,57.3,83.9,22.8,
"Brantley Jr., Michael","488726","2019",".293",".473",".367",".357",".360",".180",".379",".368",".349",".333","88.8","10.6",5.5,61,26,76.1,94.3,10.7,
"Gurriel, Yuli","493329","2019",".280",".415",".364",".321",".329",".135",".385",".333",".333",".315","89.3","14.3",3.6,66.7,34.4,75.3,90.5,14.8,
"Rojas, Miguel","500743","2019",".271",".370",".305",".303",".322",".099",".317",".315",".322",".310","87.4","9.1",2.6,64.4,29.8,69.3,89.6,16.5,
"Escobar, Eduardo","500871","2019",".254",".464",".341",".326",".310",".209",".393",".372",".331",".318","87.8","18.4",7,71.4,37.8,64.7,82,24.8,
"Davis, Khris","501981","2019",".232",".435",".289",".317",".306",".203",".358",".404",".315",".337","90.2","13.1",9.8,79.8,27.3,42.8,73.3,34.9,
"Pham, Tommy","502054","2019",".270",".455",".349",".354",".366",".185",".382",".390",".348",".345","90.9","5.2",7.9,61.6,16.4,53.2,87.3,20.2,
"Martinez, J.D.","502110","2019",".301",".567",".386",".396",".384",".266",".460",".476",".396",".398","91.3","12.5",11.8,72.6,29.8,51.8,83.5,26.7,
"Reddick, Josh","502210","2019",".275",".398",".308",".316",".324",".123",".323",".334",".311",".317","86.1","15.8",3.4,74.2,30,71.1,90.4,14.6,
"Goldschmidt, Paul","502671","2019",".257",".509",".346",".359",".345",".252",".416",".438",".357",".356","90.1","15.4",11.3,66.6,28.4,65,77.7,26.3,
"Altuve, Jose","514888","2019",".268",".484",".374",".344",".328",".216",".414",".376",".354",".321","87.4","9.7",8.1,67.8,30.7,67.2,83.3,20.4,
"Hernandez, Cesar","514917","2019",".264",".375",".315",".302",".320",".111",".342",".325",".331",".314","86","9.5",2.7,64.5,27.7,66.9,88.5,17.1,
"Segura, Jean","516416","2019",".270",".401",".315",".310",".314",".131",".333",".327",".318",".308","88.2","7.2",3.2,60.9,35.7,74.3,91.4,14.5,
"Castro, Starlin","516770","2019",".268",".435",".307",".314",".301",".167",".349",".359",".322",".323","88.5","11",6.2,67.5,31.3,66.2,87.8,19.1,
"Marte, Starling","516782","2019",".297",".507",".353",".362",".346",".210",".396",".409",".354",".360","88.6","8.2",8,76.9,33.5,58.8,81.9,24.9,
"Donaldson, Josh","518626","2019",".262",".530",".377",".385",".383",".268",".441",".453",".359",".364","92.9","13.3",15.7,69.1,23.1,60.1,73.9,29.9,
"Freeman, Freddie","518692","2019",".294",".569",".387",".397",".389",".275",".438",".452",".373",".373","89.7","14.4",12.3,80.6,29.3,65.4,80,24.2,
"Grandal, Yasmani","518735","2019",".241",".475",".361",".366",".379",".234",".395",".405",".332",".331","90.7","14.2",11.3,58.7,21.6,55,82.7,25.5,
"Heyward, Jason","518792","2019",".255",".396",".328",".323",".347",".141",".355",".349",".318",".324","88.8","11.3",5.7,66.3,27.7,65,83.5,22.7,
"LeMahieu, DJ","518934","2019",".314",".522",".375",".376",".364",".208",".411",".413",".382",".369","91.9","6.5",7.5,64.4,27,71.6,89.4,16,
"Moustakas, Mike","519058","2019",".260",".503",".348",".350",".334",".243",".384",".388",".311",".319","89.5","17.4",10.3,72,31.6,61.3,82.1,24.9,
"Rizzo, Anthony","519203","2019",".297",".487",".390",".388",".411",".190",".399",".397",".350",".358","89","12.6",6.8,63.6,32.1,70.8,86.1,19.7,
"Galvis, Freddy","520471","2019",".235",".384",".307",".280",".273",".149",".389",".351",".350",".318","88.8","14.7",5.5,72.5,38.1,58.4,77.8,28.4,
"Garcia, Avisail","541645","2019",".271",".492",".334",".343",".323",".221",".413",".426",".376",".363","89.5","9.8",11.7,81.3,36,47.3,79.2,32,
"Ozuna, Marcell","542303","2019",".284",".532",".336",".378",".367",".248",".380",".444",".315",".372","91.8","13.5",12.1,68.1,27.6,52.1,83.3,27.6,
"Villar, Jonathan","542340","2019",".246",".412",".335",".315",".315",".165",".412",".381",".374",".338","88.9","8.2",6.8,74.2,28.2,56.5,77.8,27.3,
"Santana, Danny","542454","2019",".277",".504",".352",".345",".320",".226",".483",".473",".409",".403","91.4","13.5",9.5,74.3,38.4,52.5,75.7,32,
"Crawford, Brandon","543063","2019",".238",".395",".281",".306",".314",".157",".312",".347",".295",".310","87.8","8.3",5.4,77.2,28.3,55,78.5,28.3,
"Hosmer, Eric","543333","2019",".249",".411",".309",".304",".297",".162",".385",".377",".356",".336","90.8","2.1",7.2,71.8,32.9,51.8,82.2,28.9,
"Kipnis, Jason","543401","2019",".256",".419",".301",".316",".318",".163",".330",".351",".298",".317","88.1","14.1",5.5,65.8,26.7,57.2,87.9,20.3,
"Rendon, Anthony","543685","2019",".310",".590",".413",".414",".407",".280",".438",".440",".372",".366","90.4","19.5",12,68.3,20.6,72.9,91.9,12.9,
"Semien, Marcus","543760","2019",".272",".495",".373",".363",".359",".224",".391",".378",".336",".322","88.9","14.9",8.5,66.5,19.2,61.1,87.6,18.3,
"Springer III, George","543807","2019",".283",".578",".400",".400",".379",".295",".466",".468",".378",".373","89.8","10.5",14.1,69.1,20.8,52.9,79.9,26.5,
"Vazquez, Christian","543877","2019",".250",".441",".331",".313",".300",".191",".390",".367",".346",".319","89.4","13.3",5.9,68.2,32.5,67.7,85.1,20.5,
"Wong, Kolten","543939","2019",".242",".349",".334",".297",".326",".108",".353",".304",".340",".292","86.1","12.6",2.2,67.7,29.9,65.1,87.5,18.2,
"Garcia, Leury","544725","2019",".242",".351",".294",".272",".275",".109",".363",".332",".365",".318","88.2","6.2",3.8,72.7,36.1,58.7,82.5,24.4,
"Grichuk, Randal","545341","2019",".236",".428",".307",".304",".285",".192",".388",".384",".320",".328","89.3","16",8.5,69.4,33.4,51,83.3,28.1,
"Trout, Mike","545361","2019",".310",".678",".436",".460",".456",".368",".503",".543",".387",".416","90.9","22.2",18.9,57.8,17.9,63.9,86.7,19.2,
"Harper, Bryce","547180","2019",".273",".547",".365",".387",".384",".274",".452",".488",".373",".394","91.9","13.7",14.8,74.2,30.4,47.8,75.4,33.7,
"Abreu, Jose","547989","2019",".279",".517",".344",".358",".332",".238",".418",".438",".366",".368","92.1","10.9",12.8,66.6,34.7,56.9,85.3,25.3,
"Suarez, Eugenio","553993","2019",".247",".500",".381",".355",".341",".254",".503",".462",".398",".370","89.3","17.7",13.8,67.1,24.1,47.2,80.5,28.7,
"Santana, Domingo","570267","2019",".250",".478",".326",".342",".329",".228",".447",".478",".394",".397","89","11.3",12.1,69.3,24.9,46.5,75.8,31.9,
"Sanchez, Yolmer","570560","2019",".230",".315",".281",".274",".299",".084",".315",".305",".327",".301","87.1","14.2",1,67.2,31.5,63.3,82.3,22.6,
